HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.97,15077,24598,15721,5446,237.165,240.25,14504.61196,43.426,1456,2858,239,1627,1716,300,25.4,3.19E+14,101640.2867,1.33E+16,2584832.201
0.75,15805,18681,9605,5447,234.941,232.574,14325.55488,32.848,1350,2859,337,2896,1670,295,26.45,1.76E+14,70280.12,7.46E+15,1577747.446
0.65,14508,16882,12278,5326,235.497,228.588,14154.67788,28.872,1378,2860,294,1596,1692,290,26.6,1.84E+14,69064.54,1.11E+16,2262797.228
0.58,17011,18744,10031,4409,239.856,240.06,14238.9,28,1391,770,300,582,1705,300,25,1.16E+14,42433.89814,1.93E+17,38505877.84
0.64,15066,19412,14210,5838,236.901,236.05,14139.663,31.553,1411,2863,272,3888,1677,301,25,2.77E+13,9721.847966,1.70E+16,3554369.707
0.63,15565,21184,9081,5038,250.585,241.28,14951.51284,33.553,1375,2867,303,1856,1630,310,26.4,8.58E+13,32302.28339,2.16E+16,4892448.625
0.68,15546,22791,9086,5059,249.033,255.674,14797.27272,33.104,1401,2868,305,5008,1663,307,25.9,2.12E+14,75488.99153,5.58E+15,1193060.958
0.66,15420,21623,9150,5082,253.318,249.463,15063.65436,32.647,1367,2869,309,1573,1702,309,24.95,2.23E+14,85752.55864,1.22E+16,2433539.063
0.63,15975,20522,6871,5077,253.732,244.809,15057.04032,32.745,1326,2870,379,1150,1671,309,26.6,2.04E+14,85776.83288,6.88E+15,1451988.223
0.61,15031,20390,11031,5086,244.094,246.141,14092.004,33.596,1335,780,345,1427,1635,302,25,1.75E+14,72133.90763,8.65E+15,1951202.958
0.48,15406,18986,8952,5064,244.009,244.872,14191.988,31.128,1319,781,338,1467,1668,304,25,3.33E+13,14258.09,2.27E+16,4822770.838
0.68,15829,22033,9619,5629,229.113,234.2,14195.278,35.217,1323,2873,360,2690.5,1686,304,25,2.76E+13,11701.71,9.22E+16,18973787.94
0.58,15453,20483,11240,7615,232.622,238.767,13953.9,27.592,1398,783,280,7398,1679,300,25,3.44E+13,12355.51729,1.11E+16,2317742.61
0.83,15871,23744,12147,6073,221.215,231.553,14939.13992,25.739,1394,2878,257,4770.5,1701,311,25.9,9.06E+13,32723.00746,1.16E+16,2322664.165
