HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.44,15634,17741,7027,6025,244.241,236.17,14863.6385,28.625,1344,1040,314,0,1635,310,25.15,78300000000000,31715,4150000000000000,936971
0.57,15695,20135,9835,6179,253.116,250.839,14530.70158,29.917,1386,1041,324,1364,1691,303,25.35,59000000000000,21813,9270000000000000,1892205
0.53,15448,20324,8798,6192,254.283,251.009,14414.19682,31.729,1342,1042,366,1546,1704,300,24.85,143000000000000,58056,11900000000000000,2376708
0.52,15832,20018,9708,6212,250.262,248.356,14936.72496,32.479,1357,1043,311,1677,1669,310,26.6,132000000000000,52016,4580000000000000,972467
0.53,14976,20446,9990,5113,253.22,249.283,14745.35696,31.188,1378,1044,322,4909,1687,305,24.58,141000000000000,52936,12000000000000000,2476913
0.92,14359,23639,16859,5630,243.158,229.2,14564.64712,32.354,1414,1046,255,1413,1696,300,24.75,236000000000000,82148,7330000000000000,1484350
0.65,14936,21723,13271,6602,244.2,244.138,14691.88256,27.771,1342,1048,309,1407,1629,305,25.2,29200000000000,11802,40300000000000000,9139479
0.65,15381,20195,10501,4783,240.905,249.333,14599.06458,25.521,1380,1056,345,1389,1686,301,26.85,228000000000000,85453,9580000000000000,1970752
0.66,14904,20401,10729,5494,246.884,248.03,14454.04264,27.125,1325,1063,322,2321,1680,298,26.9,18500000000000,7818,28100000000000000,5856111
0.84,14827,21822,15022,5607,238.03,226.68,14708.21968,33.833,1378,1064,296,1283,1676,302,27.9,141000000000000,52893,6940000000000000,1455467
0.59,14176,18608,16818,5654,244.178,239.24,14535.78088,30.583,1436,1067,245,2296,1684,300,25.05,85000000000000,28240,6490000000000000,1338846
0.52,14840,19121,13958,5679,244.24,241.907,14607.1172,26.771,1370,1070,320,1795,1645,300,26.9,59900000000000,22759,31000000000000000,6838281
0.55,14261,18671,15392,5701,244.179,241.785,14573.56208,27.653,1385,1071,275,8257,1680,300,25.4,22100000000000,8118,7120000000000000,1472487
0.66,14453,19782,15055,5343,244.24,239.24,14679.05784,28.063,1385,1072,305,8127.5,1671,301,26.3,95700000000000,35150,2940000000000000,618135
0.63,15062,18785,15782,6400,249.032,187.416,14806.98358,27.771,1380,1074,275,1348,1608,305,26.15,170000000000000,63284,7380000000000000,1737581
0.56,15099,18784,16244,6565,244.269,221.349,14545.1166,30.313,1349,1076,296,1414,1680,300,25.7,66200000000000,26346,13500000000000000,2792052
0.43,14500,18791,15978,6533,230.8,201.367,15286.00544,29.286,1349,1079,303,1406,1660,315,25.65,132000000000000,52905,8990000000000000,1933761
0.5,14221,18749,15826,6528,243.29,223.108,15060.34864,32.714,1365,1080,283,1254,1635,312,24.5,167000000000000,64282,5240000000000000,1178944
0.43,14186,16336,12851,4266,244.373,239.29,15014.62968,29.104,1357,1081,323,1377,1636,310,25.75,74600000000000,29300,11000000000000000,2467662
0.43,13571,17946,9046,6296,244.29,239.29,14452.71276,26.469,1342,1086,306,1423,1645,295,25.75,107000000000000,43613,15300000000000000,3399264
0.56,14207,18958,15302,6318,244.228,239.815,15029.9436,31.375,1375,1087,286,1401,1660,310,26.4,100000000000000,37940,3820000000000000,824142
0.53,14588,20369,13743,6302,244.27,240.699,14727.40602,30.457,1364,1090,266,1396,1658,302,26.55,58800000000000,22846,2420000000000000,524527
1,14515,26157,17997,6047,247.331,239.27,15083.68252,49.98,1390,1091,287,8036.5,1672,308,26.25,26100000000000,9584,7150000000000000,1510425
0.77,13778,22640,16142,5329,246.331,239.415,14875.2098,28.082,1363,1092,300,3099.5,1681,302,26.4,38000000000000,14748,11800000000000000,2441569
0.69,14439,19984,17968,6131,244.239,231.26,14877.96708,30.583,1421,1093,248,639,1664,302,25.15,147000000000000,50238,15100000000000000,3225709
0.43,14189,16956,15356,6138,242.489,220.16,14698.35712,31.417,1408,1094,240,6741,1649,302,25.85,263000000000000,92421,36500000000000000,8008919
0.82,15242,21643,11637,5394,231.967,237.856,15053.1291,27.833,1304,1098,379,1421,1691,309,25.65,52000000000000,23023,17400000000000000,3551403
0.7,15739,21126,13046,5409,241.904,253.014,15038.78964,29.104,1358,1099,321,1444,1690,308,25.8,98600000000000,38669,12800000000000000,2617349
0.68,14292,16223,15768,5961,225.749,226.361,15084.73344,39.417,1377,1110,273,1515,1651,308,25.5,201000000000000,75592,7810000000000000,1705947
0.75,14137,20227,18110,6576,231.145,224.97,14779.876,42.354,1410,1111,249,2428,1660,302,25.4,245000000000000,85619,7510000000000000,1612069
0.77,14161,18889,14728,6544,236.148,245.353,14739.82468,30.633,1375,1112,282,2035,1649,300,25.65,397000000000000,149248,10700000000000000,2351413
0.99,14731,25160,16210,6697,249.867,242.467,15287.84852,27.208,1339,1115,314,1384,1671,313,26.7,103000000000000,41813,7170000000000000,1507482
1.08,14686,22442,16107,5263,242.492,243.557,15030.46756,30.458,1429,1116,259,1046,1652,308,25.3,188000000000000,62879,5810000000000000,1264953
0.98,14208,22418,19143,5248,242.115,240.745,14603.88582,32.404,1390,1117,297,1144,1718,299,24.35,175000000000000,63902,10400000000000000,2021251
0.79,14524,16625,17710,5263,243.465,233.533,15263.24844,31.388,1389,1118,291,1165,1672,310,25.8,145000000000000,52628,5930000000000000,1238515
0.84,14130,19323,18256,5283,244.838,230.3,14918.3598,37.383,1402,1119,260,1294,1690,305,24.8,205000000000000,72426,5610000000000000,1137438
0.66,14814,19146,15036,6783,246.486,258.267,15497.79264,32.061,1417,1121,285,1427,1655,315,24.1,294000000000000,100888,14300000000000000,3091294
